3	2	3	14	7	
5	2	4	4	12	
10	5	0	3	4	
10	7	0	9	12	
0	10	8	9	1	

0	0	0	10	5	
5	8	6	13	5	
1	6	10	7	4	
0	9	12	2	6	
1	0	14	3	5	

12	6	5	12	0	
2	2	7	1	13	
10	8	10	7	11	
8	7	12	10	13	
3	5	4	5	4	

7	3	3	6	11	
13	10	14	7	3	
2	0	14	5	1	
2	7	1	9	13	
8	2	10	1	13	

12	6	11	1	9	
5	3	10	11	4	
14	9	12	1	3	
8	4	14	0	9	
13	5	2	3	14	

6	6	9	7	10	
10	6	5	4	14	
3	3	3	14	9	
6	5	3	12	1	
1	8	2	12	2	

7	13	11	6	13	
5	11	10	3	10	
14	4	4	0	9	
1	13	3	5	11	
10	10	10	3	7	

0	12	3	12	11	
13	4	11	2	10	
7	12	0	13	13	
14	1	3	6	3	
13	6	8	10	11	

7	9	10	3	12	
11	7	11	6	12	
6	3	6	8	12	
10	14	13	12	0	
8	14	13	11	2	

1	4	6	7	6	
10	13	4	1	3	
7	0	12	9	3	
3	8	11	0	6	
14	9	4	6	14	

